"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18532","Locked out user","Tests","Thu Aug 21 11:31:51 IST 2025","passed","Thu Aug 21 11:32:10 IST 2025","invalidLoginTest","sauceLabs","",""
"","16523","Right user empty pass","Tests","Thu Aug 21 11:32:10 IST 2025","passed","Thu Aug 21 11:32:27 IST 2025","invalidLoginTest","sauceLabs","",""
"","19672","Right user wrong pass","Tests","Thu Aug 21 11:31:16 IST 2025","passed","Thu Aug 21 11:31:36 IST 2025","invalidLoginTest","sauceLabs","",""
"","15189","Wrong user correct pass","Tests","Thu Aug 21 11:31:36 IST 2025","passed","Thu Aug 21 11:31:51 IST 2025","invalidLoginTest","sauceLabs","",""
"This TestCase will verify Logout Functionality","18477","Verify Logout Functionality","Tests","Thu Aug 21 11:30:23 IST 2025","passed","Thu Aug 21 11:30:42 IST 2025","createInspection","sauceLabs","",""
"This testcase verifies the Compliance with Regulation Flow","33583","Verify the Compliance with Regulation Flow","Tests","Thu Aug 21 11:30:42 IST 2025","failed","Thu Aug 21 11:31:15 IST 2025","createInspection","sauceLabs","",""
